dimension,num_prod,run,iters_to_NE,NE
10,30,2,12,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,3,9,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,4,14,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,5,6,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,6,14,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,7,16,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,8,11,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,9,10,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,10,9,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,11,8,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,12,10,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,13,10,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,14,12,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,15,12,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,16,16,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,17,10,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,18,11,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,30,19,13,[4. 6. 3. 2. 0. 3. 6. 2. 2. 2.]
10,40,0,13,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,1,12,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,2,14,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,3,13,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,4,15,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,5,17,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,6,14,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
10,40,7,16,[6. 7. 4. 3. 0. 4. 8. 2. 3. 3.]
