dimension,num_prod,run,iters_to_NE,NE,converged
15,20,6,6,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,7,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,8,8,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,9,8,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,10,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,11,12,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,12,7,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,13,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,14,6,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,15,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,16,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,17,8,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,18,6,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,19,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,20,12,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,21,7,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,22,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,23,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,24,6,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,25,10,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,26,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,27,7,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,28,12,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,29,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,30,7,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,31,9,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,32,11,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
15,20,33,8,[1. 2. 2. 2. 1. 1. 1. 2. 1. 1. 1. 1. 2. 1. 1.],True
