dimension,num_prod,run,iters_to_NE,NE
5,50,24,34,[ 3. 34. 13.  0.  0.]
5,50,25,32,[ 3. 34. 13.  0.  0.]
5,50,26,35,[ 3. 34. 13.  0.  0.]
5,50,27,32,[ 3. 34. 13.  0.  0.]
5,50,28,24,[ 3. 34. 13.  0.  0.]
5,50,29,36,[ 3. 34. 13.  0.  0.]
5,50,30,39,[ 3. 34. 13.  0.  0.]
5,50,31,31,[ 3. 34. 13.  0.  0.]
5,50,32,29,[ 3. 34. 13.  0.  0.]
5,50,33,29,[ 3. 34. 13.  0.  0.]
5,50,34,35,[ 3. 34. 13.  0.  0.]
5,50,35,31,[ 3. 34. 13.  0.  0.]
5,50,36,32,[ 3. 34. 13.  0.  0.]
5,50,37,35,[ 3. 34. 13.  0.  0.]
5,50,38,33,[ 3. 34. 13.  0.  0.]
5,50,39,29,[ 3. 34. 13.  0.  0.]
5,60,0,42,[ 3. 42. 15.  0.  0.]
5,60,1,39,[ 3. 42. 15.  0.  0.]
5,60,2,34,[ 3. 42. 15.  0.  0.]
5,60,3,41,[ 3. 42. 15.  0.  0.]
5,60,4,35,[ 3. 42. 15.  0.  0.]
5,60,5,33,[ 3. 42. 15.  0.  0.]
5,60,6,42,[ 3. 42. 15.  0.  0.]
5,60,7,39,[ 3. 42. 15.  0.  0.]
5,60,8,36,[ 3. 42. 15.  0.  0.]
5,60,9,35,[ 3. 42. 15.  0.  0.]
5,60,10,34,[ 3. 42. 15.  0.  0.]
5,60,11,34,[ 3. 42. 15.  0.  0.]
5,60,12,37,[ 3. 42. 15.  0.  0.]
5,60,13,46,[ 3. 42. 15.  0.  0.]
5,60,14,37,[ 3. 42. 15.  0.  0.]
5,60,15,44,[ 3. 42. 15.  0.  0.]
5,60,16,44,[ 3. 42. 15.  0.  0.]
5,60,17,43,[ 3. 42. 15.  0.  0.]
5,60,18,49,[ 3. 42. 15.  0.  0.]
5,60,19,41,[ 3. 42. 15.  0.  0.]
5,60,20,43,[ 3. 42. 15.  0.  0.]
5,60,21,39,[ 3. 42. 15.  0.  0.]
5,60,22,44,[ 3. 42. 15.  0.  0.]
5,60,23,39,[ 3. 42. 15.  0.  0.]
5,60,24,35,[ 3. 42. 15.  0.  0.]
5,60,25,38,[ 3. 42. 15.  0.  0.]
5,60,26,36,[ 3. 42. 15.  0.  0.]
5,60,27,43,[ 3. 42. 15.  0.  0.]
5,60,28,35,[ 3. 42. 15.  0.  0.]
5,60,29,35,[ 3. 42. 15.  0.  0.]
5,60,30,40,[ 3. 42. 15.  0.  0.]
5,60,31,43,[ 3. 42. 15.  0.  0.]
5,60,32,28,[ 3. 42. 15.  0.  0.]
5,60,33,34,[ 3. 42. 15.  0.  0.]
5,60,34,42,[ 3. 42. 15.  0.  0.]
5,60,35,39,[ 3. 42. 15.  0.  0.]
5,60,36,44,[ 3. 42. 15.  0.  0.]
5,60,37,39,[ 3. 42. 15.  0.  0.]
5,60,38,43,[ 3. 42. 15.  0.  0.]
5,60,39,41,[ 3. 42. 15.  0.  0.]
5,70,0,48,[ 4. 48. 18.  0.  0.]
5,70,1,43,[ 4. 48. 18.  0.  0.]
5,70,2,48,[ 4. 48. 18.  0.  0.]
5,70,3,42,[ 4. 48. 18.  0.  0.]
5,70,4,52,[ 4. 48. 18.  0.  0.]
5,70,5,43,[ 4. 48. 18.  0.  0.]
5,70,6,46,[ 4. 48. 18.  0.  0.]
5,70,7,45,[ 4. 48. 18.  0.  0.]
5,70,8,49,[ 4. 48. 18.  0.  0.]
5,70,9,43,[ 4. 48. 18.  0.  0.]
5,70,10,45,[ 4. 48. 18.  0.  0.]
5,70,11,51,[ 4. 48. 18.  0.  0.]
5,70,12,41,[ 4. 48. 18.  0.  0.]
5,70,13,49,[ 4. 48. 18.  0.  0.]
5,70,14,43,[ 4. 48. 18.  0.  0.]
5,70,15,52,[ 4. 48. 18.  0.  0.]
5,70,16,49,[ 4. 48. 18.  0.  0.]
5,70,17,48,[ 4. 48. 18.  0.  0.]
5,70,18,43,[ 4. 48. 18.  0.  0.]
5,70,19,46,[ 4. 48. 18.  0.  0.]
5,70,20,46,[ 4. 48. 18.  0.  0.]
5,70,21,42,[ 4. 48. 18.  0.  0.]
5,70,22,40,[ 4. 48. 18.  0.  0.]
5,70,23,47,[ 4. 48. 18.  0.  0.]
5,70,24,43,[ 4. 48. 18.  0.  0.]
5,70,25,47,[ 4. 48. 18.  0.  0.]
5,70,26,49,[ 4. 48. 18.  0.  0.]
5,70,27,44,[ 4. 48. 18.  0.  0.]
5,70,28,49,[ 4. 48. 18.  0.  0.]
5,70,29,41,[ 4. 48. 18.  0.  0.]
5,70,30,46,[ 4. 48. 18.  0.  0.]
5,70,31,43,[ 4. 48. 18.  0.  0.]
5,70,32,47,[ 4. 48. 18.  0.  0.]
5,70,33,47,[ 4. 48. 18.  0.  0.]
5,70,34,46,[ 4. 48. 18.  0.  0.]
5,70,35,46,[ 4. 48. 18.  0.  0.]
5,70,36,53,[ 4. 48. 18.  0.  0.]
5,70,37,49,[ 4. 48. 18.  0.  0.]
5,70,38,52,[ 4. 48. 18.  0.  0.]
5,70,39,46,[ 4. 48. 18.  0.  0.]
5,80,0,49,[ 4. 56. 20.  0.  0.]
5,80,1,52,[ 4. 56. 20.  0.  0.]
5,80,2,59,[ 4. 56. 20.  0.  0.]
5,80,3,47,[ 4. 56. 20.  0.  0.]
5,80,4,55,[ 4. 56. 20.  0.  0.]
5,80,5,49,[ 4. 56. 20.  0.  0.]
5,80,6,59,[ 4. 56. 20.  0.  0.]
5,80,7,62,[ 4. 56. 20.  0.  0.]
5,80,8,56,[ 4. 56. 20.  0.  0.]
5,80,9,55,[ 4. 56. 20.  0.  0.]
5,80,10,51,[ 4. 56. 20.  0.  0.]
5,80,11,55,[ 4. 56. 20.  0.  0.]
5,80,12,56,[ 4. 56. 20.  0.  0.]
5,80,13,53,[ 4. 56. 20.  0.  0.]
5,80,14,53,[ 4. 56. 20.  0.  0.]
5,80,15,54,[ 4. 56. 20.  0.  0.]
5,80,16,53,[ 4. 56. 20.  0.  0.]
5,80,17,57,[ 4. 56. 20.  0.  0.]
5,80,18,50,[ 4. 56. 20.  0.  0.]
5,80,19,45,[ 4. 56. 20.  0.  0.]
5,80,20,50,[ 4. 56. 20.  0.  0.]
5,80,21,53,[ 4. 56. 20.  0.  0.]
5,80,22,51,[ 4. 56. 20.  0.  0.]
5,80,23,51,[ 4. 56. 20.  0.  0.]
5,80,24,50,[ 4. 56. 20.  0.  0.]
5,80,25,47,[ 4. 56. 20.  0.  0.]
5,80,26,56,[ 4. 56. 20.  0.  0.]
5,80,27,51,[ 4. 56. 20.  0.  0.]
5,80,28,56,[ 4. 56. 20.  0.  0.]
5,80,29,45,[ 4. 56. 20.  0.  0.]
5,80,30,53,[ 4. 56. 20.  0.  0.]
5,80,31,52,[ 4. 56. 20.  0.  0.]
5,80,32,51,[ 4. 56. 20.  0.  0.]
5,80,33,57,[ 4. 56. 20.  0.  0.]
5,80,34,48,[ 4. 56. 20.  0.  0.]
5,80,35,47,[ 4. 56. 20.  0.  0.]
5,80,36,49,[ 4. 56. 20.  0.  0.]
5,80,37,53,[ 4. 56. 20.  0.  0.]
5,80,38,53,[ 4. 56. 20.  0.  0.]
5,80,39,62,[ 4. 56. 20.  0.  0.]
5,90,0,60,[ 5. 62. 23.  0.  0.]
5,90,1,56,[ 5. 62. 23.  0.  0.]
5,90,2,62,[ 5. 62. 23.  0.  0.]
5,90,3,55,[ 5. 62. 23.  0.  0.]
5,90,4,62,[ 5. 62. 23.  0.  0.]
5,90,5,58,[ 5. 62. 23.  0.  0.]
5,90,6,58,[ 5. 62. 23.  0.  0.]
5,90,7,52,[ 5. 62. 23.  0.  0.]
5,90,8,64,[ 5. 62. 23.  0.  0.]
5,90,9,59,[ 5. 62. 23.  0.  0.]
5,90,10,59,[ 5. 62. 23.  0.  0.]
5,90,11,59,[ 5. 62. 23.  0.  0.]
5,90,12,58,[ 5. 62. 23.  0.  0.]
5,90,13,61,[ 5. 62. 23.  0.  0.]
5,90,14,56,[ 5. 62. 23.  0.  0.]
5,90,15,60,[ 5. 62. 23.  0.  0.]
5,90,16,59,[ 5. 62. 23.  0.  0.]
5,90,17,62,[ 5. 62. 23.  0.  0.]
5,90,18,62,[ 5. 62. 23.  0.  0.]
5,90,19,61,[ 5. 62. 23.  0.  0.]
5,90,20,62,[ 5. 62. 23.  0.  0.]
5,90,21,63,[ 5. 62. 23.  0.  0.]
5,90,22,54,[ 5. 62. 23.  0.  0.]
5,90,23,57,[ 5. 62. 23.  0.  0.]
5,90,24,58,[ 5. 62. 23.  0.  0.]
5,90,25,59,[ 5. 62. 23.  0.  0.]
5,90,26,53,[ 5. 62. 23.  0.  0.]
5,90,27,57,[ 5. 62. 23.  0.  0.]
5,90,28,57,[ 5. 62. 23.  0.  0.]
5,90,29,62,[ 5. 62. 23.  0.  0.]
5,90,30,62,[ 5. 62. 23.  0.  0.]
5,90,31,60,[ 5. 62. 23.  0.  0.]
5,90,32,61,[ 5. 62. 23.  0.  0.]
5,90,33,60,[ 5. 62. 23.  0.  0.]
5,90,34,65,[ 5. 62. 23.  0.  0.]
5,90,35,57,[ 5. 62. 23.  0.  0.]
5,90,36,64,[ 5. 62. 23.  0.  0.]
5,90,37,56,[ 5. 62. 23.  0.  0.]
5,90,38,56,[ 5. 62. 23.  0.  0.]
5,90,39,60,[ 5. 62. 23.  0.  0.]
5,100,0,63,[ 6. 69. 25.  0.  0.]
5,100,1,59,[ 6. 69. 25.  0.  0.]
5,100,2,63,[ 6. 69. 25.  0.  0.]
5,100,3,63,[ 6. 69. 25.  0.  0.]
5,100,4,63,[ 6. 69. 25.  0.  0.]
5,100,5,69,[ 6. 69. 25.  0.  0.]
5,100,6,64,[ 6. 69. 25.  0.  0.]
5,100,7,65,[ 6. 69. 25.  0.  0.]
5,100,8,58,[ 6. 69. 25.  0.  0.]
5,100,9,63,[ 6. 69. 25.  0.  0.]
5,100,10,68,[ 6. 69. 25.  0.  0.]
5,100,11,64,[ 6. 69. 25.  0.  0.]
5,100,12,74,[ 6. 69. 25.  0.  0.]
5,100,13,56,[ 6. 69. 25.  0.  0.]
5,100,14,64,[ 6. 69. 25.  0.  0.]
5,100,15,69,[ 6. 69. 25.  0.  0.]
5,100,16,64,[ 6. 69. 25.  0.  0.]
5,100,17,58,[ 6. 69. 25.  0.  0.]
5,100,18,73,[ 6. 69. 25.  0.  0.]
5,100,19,66,[ 6. 69. 25.  0.  0.]
5,100,20,70,[ 6. 69. 25.  0.  0.]
5,100,21,67,[ 6. 69. 25.  0.  0.]
5,100,22,67,[ 6. 69. 25.  0.  0.]
5,100,23,61,[ 6. 69. 25.  0.  0.]
5,100,24,65,[ 6. 69. 25.  0.  0.]
5,100,25,63,[ 6. 69. 25.  0.  0.]
5,100,26,62,[ 6. 69. 25.  0.  0.]
5,100,27,65,[ 6. 69. 25.  0.  0.]
5,100,28,62,[ 6. 69. 25.  0.  0.]
5,100,29,72,[ 6. 69. 25.  0.  0.]
5,100,30,77,[ 6. 69. 25.  0.  0.]
5,100,31,61,[ 6. 69. 25.  0.  0.]
5,100,32,64,[ 6. 69. 25.  0.  0.]
5,100,33,66,[ 6. 69. 25.  0.  0.]
5,100,34,74,[ 6. 69. 25.  0.  0.]
5,100,35,71,[ 6. 69. 25.  0.  0.]
5,100,36,62,[ 6. 69. 25.  0.  0.]
5,100,37,65,[ 6. 69. 25.  0.  0.]
5,100,38,58,[ 6. 69. 25.  0.  0.]
5,100,39,72,[ 6. 69. 25.  0.  0.]
10,10,0,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,1,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,2,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,3,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,4,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,5,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,6,8,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,7,8,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,8,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,9,5,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,10,8,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,11,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,12,7,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,13,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,14,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,15,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,16,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,17,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,18,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,19,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,20,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,21,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,22,8,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,23,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,24,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,25,7,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,26,9,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
10,10,27,10,[0. 9. 0. 0. 1. 0. 0. 0. 0. 0.]
