dimension,num_prod,run,iters_to_NE,NE
5,40,31,9,[ 7.  9. 10. 10.  4.]
5,40,32,12,[ 7.  9. 10. 10.  4.]
5,40,33,7,[ 7.  9. 10. 10.  4.]
5,40,34,14,[ 7.  9. 10. 10.  4.]
5,40,35,7,[ 7.  9. 10. 10.  4.]
5,40,36,7,[ 7.  9. 10. 10.  4.]
5,40,37,4,[ 7.  9. 10. 10.  4.]
5,40,38,9,[ 7.  9. 10. 10.  4.]
5,40,39,7,[ 7.  9. 10. 10.  4.]
5,50,0,11,[ 9. 11. 13. 13.  4.]
5,50,1,9,[ 9. 11. 13. 13.  4.]
5,50,2,5,[ 9. 11. 13. 13.  4.]
5,50,3,7,[ 9. 11. 13. 13.  4.]
5,50,4,17,[ 9. 11. 13. 13.  4.]
5,50,5,15,[ 9. 11. 13. 13.  4.]
5,50,6,10,[ 9. 11. 13. 13.  4.]
5,50,7,13,[ 9. 11. 13. 13.  4.]
5,50,8,7,[ 9. 11. 13. 13.  4.]
5,50,9,11,[ 9. 11. 13. 13.  4.]
5,50,10,16,[ 9. 11. 13. 13.  4.]
5,50,11,9,[ 9. 11. 13. 13.  4.]
5,50,12,12,[ 9. 11. 13. 13.  4.]
5,50,13,11,[ 9. 11. 13. 13.  4.]
5,50,14,11,[ 9. 11. 13. 13.  4.]
5,50,15,16,[ 9. 11. 13. 13.  4.]
5,50,16,11,[ 9. 11. 13. 13.  4.]
5,50,17,5,[ 9. 11. 13. 13.  4.]
5,50,18,9,[ 9. 11. 13. 13.  4.]
5,50,19,9,[ 9. 11. 13. 13.  4.]
5,50,20,8,[ 9. 11. 13. 13.  4.]
5,50,21,15,[ 9. 11. 13. 13.  4.]
5,50,22,10,[ 9. 11. 13. 13.  4.]
5,50,23,16,[ 9. 11. 13. 13.  4.]
5,50,24,11,[ 9. 11. 13. 13.  4.]
5,50,25,8,[ 9. 11. 13. 13.  4.]
5,50,26,8,[ 9. 11. 13. 13.  4.]
5,50,27,11,[ 9. 11. 13. 13.  4.]
5,50,28,8,[ 9. 11. 13. 13.  4.]
5,50,29,10,[ 9. 11. 13. 13.  4.]
5,50,30,11,[ 9. 11. 13. 13.  4.]
5,50,31,11,[ 9. 11. 13. 13.  4.]
5,50,32,7,[ 9. 11. 13. 13.  4.]
5,50,33,12,[ 9. 11. 13. 13.  4.]
5,50,34,15,[ 9. 11. 13. 13.  4.]
5,50,35,8,[ 9. 11. 13. 13.  4.]
5,50,36,7,[ 9. 11. 13. 13.  4.]
5,50,37,7,[ 9. 11. 13. 13.  4.]
5,50,38,8,[ 9. 11. 13. 13.  4.]
5,50,39,19,[ 9. 11. 13. 13.  4.]
5,60,0,7,[11. 13. 15. 15.  6.]
5,60,1,16,[11. 13. 15. 15.  6.]
5,60,2,11,[11. 13. 15. 15.  6.]
5,60,3,13,[11. 13. 15. 15.  6.]
5,60,4,12,[11. 13. 15. 15.  6.]
5,60,5,9,[11. 13. 15. 15.  6.]
5,60,6,7,[11. 13. 15. 15.  6.]
5,60,7,12,[11. 13. 15. 15.  6.]
5,60,8,18,[11. 13. 15. 15.  6.]
5,60,9,11,[11. 13. 15. 15.  6.]
5,60,10,9,[11. 13. 15. 15.  6.]
5,60,11,4,[11. 13. 15. 15.  6.]
5,60,12,7,[11. 13. 15. 15.  6.]
5,60,13,11,[11. 13. 15. 15.  6.]
5,60,14,7,[11. 13. 15. 15.  6.]
5,60,15,4,[11. 13. 15. 15.  6.]
5,60,16,11,[11. 13. 15. 15.  6.]
5,60,17,10,[11. 13. 15. 15.  6.]
5,60,18,8,[11. 13. 15. 15.  6.]
5,60,19,17,[11. 13. 15. 15.  6.]
5,60,20,9,[11. 13. 15. 15.  6.]
5,60,21,11,[11. 13. 15. 15.  6.]
5,60,22,7,[11. 13. 15. 15.  6.]
5,60,23,4,[11. 13. 15. 15.  6.]
5,60,24,14,[11. 13. 15. 15.  6.]
5,60,25,13,[11. 13. 15. 15.  6.]
5,60,26,14,[11. 13. 15. 15.  6.]
5,60,27,13,[11. 13. 15. 15.  6.]
5,60,28,4,[11. 13. 15. 15.  6.]
5,60,29,7,[11. 13. 15. 15.  6.]
5,60,30,11,[11. 13. 15. 15.  6.]
5,60,31,14,[11. 13. 15. 15.  6.]
5,60,32,19,[11. 13. 15. 15.  6.]
5,60,33,7,[11. 13. 15. 15.  6.]
5,60,34,13,[11. 13. 15. 15.  6.]
5,60,35,9,[11. 13. 15. 15.  6.]
5,60,36,9,[11. 13. 15. 15.  6.]
5,60,37,9,[11. 13. 15. 15.  6.]
5,60,38,12,[11. 13. 15. 15.  6.]
5,60,39,5,[11. 13. 15. 15.  6.]
5,70,0,11,[12. 16. 18. 18.  6.]
5,70,1,16,[12. 16. 18. 18.  6.]
5,70,2,23,[12. 16. 18. 18.  6.]
5,70,3,17,[12. 16. 18. 18.  6.]
