dimension,num_prod,run,iters_to_NE,NE
10,30,2,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,3,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,4,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,5,26,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,6,24,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,7,26,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,8,24,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,9,23,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,10,26,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,11,26,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,12,27,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,13,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,14,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,15,27,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,16,26,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,17,29,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,18,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,30,19,25,[ 0.  0.  0.  5. 25.  0.  0.  0.  0.  0.]
10,40,0,36,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,1,35,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,2,37,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,3,39,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,4,35,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,5,31,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,6,38,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,7,33,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,8,35,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,9,37,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,10,34,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,11,36,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,12,34,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,13,33,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,14,36,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,15,34,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,16,30,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,17,31,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,18,30,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,40,19,34,[ 0.  0.  0.  7. 33.  0.  0.  0.  0.  0.]
10,50,0,43,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,1,44,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,2,43,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,3,38,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,4,40,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,5,46,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,6,41,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,7,48,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,8,45,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,9,42,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,10,44,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,11,39,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,12,42,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,13,47,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,14,44,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,15,46,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,16,38,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,17,43,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,18,44,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,50,19,44,[ 0.  0.  0.  8. 42.  0.  0.  0.  0.  0.]
10,60,0,51,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,1,47,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,2,53,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,3,51,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,4,48,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,5,50,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,6,54,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,7,50,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,8,57,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,9,49,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,10,51,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,11,55,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,12,54,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,13,57,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,14,54,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,15,55,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,16,53,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,17,50,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,18,53,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,60,19,53,[ 0.  0.  0. 10. 50.  0.  0.  0.  0.  0.]
10,70,0,58,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,1,63,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,2,64,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,3,63,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,4,60,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,5,62,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
10,70,6,61,[ 0.  0.  0. 12. 58.  0.  0.  0.  0.  0.]
